hash Default $G^1_4$ $G^1_5$ AF 
0.0 0.0 0.0 0.0 0.0
0.002 0.00199959074888 1.19390617061e-05 1.19154675243e-05 7.41313832356e-09
0.004 0.00399918149775 4.74840643552e-05 4.72985945976e-05 1.49161321237e-08
0.006 0.00599877224663 0.000106261227317 0.000105645912061 2.25104394871e-08
0.008 0.0079983629955 0.000187912758612 0.000186478694992 3.01975481954e-08
0.01 0.00999795374438 0.000292096221489 0.000289341731556 3.79789764561e-08
0.012 0.0119975444933 0.000418483930426 0.000413802169 4.5856273643e-08
0.014 0.0139971352421 0.00056676237467 0.000559448430905 5.38310210878e-08
0.016 0.015996725991 0.000736631668178 0.000725889200981 6.19048328619e-08
0.018 0.0179963167399 0.00092780502396 0.000912752468114 7.00793565802e-08
0.02 0.0199959074888 0.0011400082518 0.00111968462859 7.83562742582e-08
0.022 0.0219954982376 0.00137297927803 0.00134634964117 8.67373031684e-08
0.024 0.0239950889865 0.00162646768596 0.00159242823187 9.52241967641e-08
0.026 0.0259946797354 0.00190023427612 0.00185761714403 1.03818745528e-07
0.028 0.0279942704843 0.00219405064494 0.00214162843169 1.12522777999e-07
0.03 0.0299938612331 0.00250769878108 0.00244418879224 1.21338161659e-07
0.032 0.031993451982 0.00284097067894 0.00276503893693 1.30266804009e-07
0.034 0.0339930427309 0.00319366796685 0.00310393299438 1.39310653572e-07
0.036 0.0359926334798 0.00356560155098 0.00346063794775 1.4847170092e-07
0.038 0.0379922242286 0.00395659127445 0.00383493310227 1.57751979875e-07
0.04 0.0399918149775 0.00436646558782 0.00422660957958 1.67153568467e-07
0.042 0.0419914057264 0.00479506123347 0.00463546983833 1.76678590302e-07
0.044 0.0439909964753 0.005242222943 0.00506132722147 1.86329215577e-07
0.046 0.0459905872241 0.00570780314484 0.00550400552417 1.96107662443e-07
0.048 0.047990177973 0.00619166168316 0.00596333858393 2.06016198202e-07
0.05 0.0499897687219 0.00669366554812 0.00643916989128 2.16057140663e-07
0.052 0.0519893594708 0.007213688615 0.00693135221947 2.26232859535e-07
0.054 0.0539889502196 0.00775161139278 0.00743974727044 2.36545777679e-07
0.056 0.0559885409685 0.00830732078441 0.00796422534087 2.46998372722e-07
0.058 0.0579881317174 0.00888070984958 0.00850466499658 2.57593178464e-07
0.06 0.0599877224663 0.00947167758389 0.00906095277092 2.68332786404e-07
0.062 0.0619873132152 0.0100801286986 0.00963298287059 2.79219847334e-07
0.064 0.063986903964 0.0107059734124 0.010220656894 2.90257072999e-07
0.066 0.0659864947129 0.0113491272481 0.0108238835668 3.01447237786e-07
0.068 0.0679860854618 0.0120095108372 0.0114425784841 3.12793180451e-07
0.07 0.0699856762107 0.0126870497305 0.0120766638633 3.24297805822e-07
0.072 0.0719852669595 0.0133816742144 0.012726068312 3.35964086906e-07
0.074 0.0739848577084 0.0140933191345 0.0133907265985 3.47795066586e-07
0.076 0.0759844484573 0.0148219237238 0.0140705794373 3.59793859685e-07
0.078 0.0779840392062 0.0155674314375 0.0147655732778 3.71963654959e-07
0.08 0.079983629955 0.0163297897891 0.0154756601058 3.84307717385e-07
0.082 0.0819832207039 0.0171089502014 0.0162007972505 3.96829390146e-07
0.084 0.0839828114528 0.0179048678461 0.0169409471922 4.09532096974e-07
0.086 0.0859824022017 0.018717501507 0.0176960773928 4.22419344546e-07
0.088 0.0879819929505 0.0195468134298 0.0184661601123 4.3549472486e-07
0.09 0.0899815836994 0.0203927691911 0.0192511722476 4.4876191772e-07
0.092 0.0919811744483 0.0212553375591 0.0200510951676 4.62224693304e-07
0.094 0.0939807651972 0.0221344903685 0.0208659145581 4.75886914944e-07
0.096 0.095980355946 0.0230302023892 0.0216956202676 4.89752541853e-07
0.098 0.0979799466949 0.0239424512102 0.0225402061653 5.03825631821e-07
0.1 0.0999795374438 0.0248712171127 0.023399669989 5.18110344545e-07
0.102 0.101979128193 0.025816482965 0.0242740132211 5.32610944279e-07
0.104 0.103978718942 0.026778234097 0.0251632409403 5.47331803438e-07
0.106 0.10597830969 0.0277564582014 0.0260673616967 5.62277405551e-07
0.108 0.107977900439 0.0287511452235 0.0269863873892 5.7745234896e-07
0.11 0.109977491188 0.0297622872544 0.0279203331341 5.92861350014e-07
0.112 0.111977081937 0.0307898784361 0.028869217151 6.08509247007e-07
0.114 0.113976672686 0.0318339148567 0.0298330606389 6.24401003981e-07
0.116 0.115976263435 0.0328943944587 0.0308118876688 6.40541714604e-07
0.118 0.117975854184 0.0339713169503 0.0318057250711 6.56936606032e-07
0.12 0.119975444933 0.0350646837008 0.0328146023208 6.73591043471e-07
0.122 0.121975035681 0.0361744976666 0.0338385514365 6.90510534478e-07
0.124 0.12397462643 0.0373007632916 0.0348776068715 7.07700733466e-07
0.126 0.125974217179 0.0384434864393 0.0359318054241 7.25167446374e-07
0.128 0.127973807928 0.0396026742919 0.0370011861167 7.42916635561e-07
